"","atmnevek","cimek","lon","lat"
"4487","Magyar Posta Zrt. - Fiók","Grassalkovich út 153., 1238 Budapest",19.1145939,47.4006313
"4488","OTP Bank Nyrt. - Fiók","Grassalkovich út 160, 1238 Budapest",19.1145299,47.399357
"4489","KDB Bank Európa Zrt. - Fiók","Kőbányai út 49, 1101 Budapest",19.121294,47.482974
"4490","KDB Bank Európa Zrt. - ATM","Kőbányai út 49, 1101 Budapest",19.121294,47.482974
"4491","Euronet Banktechikai Kft. - ATM","Expo tér 2, 1101 Budapest",19.1222792,47.4930871
"4492","Magyar Posta Zrt. - Fiók","Verseny utca 4., 2120 Dunakeszi",19.138194,47.6291439
"4493","OTP Bank Nyrt. - ATM","Albertirsai út 10, 1101 Budapest",19.1213665,47.4928689
"4494","Erste Bank Hungary Zrt. - ATM","Verseny utca 4., 2120 Dunakeszi",19.138194,47.6291439
"4495","Magyar Posta Zrt. - Fiók","Pestújhelyi út 31., 1158 Budapest",19.1258957,47.5355562
"4496","Magyar Posta Zrt. - Fiók","Kossuth Lajos út 104., 2652 Tereske",19.1972029,47.949789
"4497","OTP Bank Nyrt. - ATM","Fogarasi út 28-54, 1149 Budapest",19.1224027,47.5056249
"4498","""BÁCSKA"" Takarékszövetkezet - ATM","Dózsa GY. U. 2, 6456 Madaras",19.2600331,46.0582392
"4499","""BÁCSKA"" Takarékszövetkezet - Fiók","Dózsa Gy. u. 2, 6456 Madaras",19.2600331,46.0582392
"4500","Magyar Posta Zrt. - Fiók","Dózsa György utca 3., 6456 Madaras",19.2594891,46.058211
"4501","Magyar Posta Zrt. - Fiók","Ady Endre út 28., 2132 Göd",19.147726,47.70261
"4502","CENTRÁL TAKARÉK Szövetkezet - Fiók","Kossuth út 2, 2652 Tereske",19.1785981,47.9519669
"4503","CIB Bank Zrt. - Fiók","Cassalgrande tér 4., 2120 Dunakeszi",19.127011,47.642293
"4504","OTP Bank Nyrt. - ATM","Lobogó utca 18, 1098 Budapest",19.1162203,47.4618666
"4505","OTP Bank Nyrt. - Fiók","Lobogó utca 18, 1098 Budapest",19.1162203,47.4618666
"4506","OTP Bank Nyrt. - ATM","Kossuth utca 5, 1152 Budapest",19.127078,47.568062
"4507","OTP Bank Nyrt. - ATM","Fogarasi út 15/b, 1149 Budapest",19.1193109,47.5035575
"4508","Magyar Posta Zrt. - Fiók","Napfény utca 10., 1098 Budapest",19.115323,47.46202
"4509","OTP Bank Nyrt. - Fiók","Fogarasi út 15/b, 1149 Budapest",19.1193109,47.5035575
"4510","UniCredit Bank Zrt. - ATM","Fogarasi út 15, 1149 Budapest",19.1194524,47.5033169
"4511","Dunakanyar Tksz. - ATM","Dr. Kemény J. út 30, 2133 Sződliget",19.15013,47.733036
"4512","Dunakanyar Tksz. - Fiók","Dr. Kemény József u. 30, 2133 Sződliget",19.15013,47.733036
"4513","Magyar Posta Zrt. - Fiók","Vasút utca 4., 6090 Kunszentmiklós",19.098171,47.0218149
"4514","Dunakanyar Tksz. - Fiók","Ady Endre u. 8, 2132 Göd-Felső",19.145198,47.704268
"4515","Dunakanyar Tksz. - ATM","Ady Endre utca 8, 2132 Göd-Felső",19.145198,47.704268
"4516","Magyar Posta Zrt. - Fiók","Rákóczi utca 51., 2330 Dunaharaszti",19.105892,47.350964
"4517","OTP Bank Nyrt. - ATM","Őrjárat utca 1-3, 1158 Budapest",19.122429,47.5392386
"4518","OTP Bank Nyrt. - ATM","Expo tér 5-7, 1101 Budapest",19.1177049,47.496573
"4519","BUDAPEST Bank Zrt. - ATM","Fogarasi út 13., 1148 Budapest",19.118733,47.5029899
"4520","Magyar Posta Zrt. - Fiók","Szabadság tér 2., 2133 Sződliget",19.149397,47.733135
"4521","OTP Bank Nyrt. - ATM","Kőbányai út 45, 1101 Budapest",19.1166716,47.4840694
"4522","K&H Bank Zrt. - ATM","Pillangó utca 15, 1149 Budapest",19.116678,47.504394
"4523","OTP Bank Nyrt. - ATM","Szent István utca 34, 2133 Sződliget",19.148839,47.734206
"4524","Magyar Posta Zrt. - Fiók","Pillangó utca 15, 1149 Budapest",19.116678,47.504394
"4525","OTP Bank Nyrt. - ATM","Kossuth Lajos utca 80, 1204 Budapest",19.1108784,47.4422649
"4526","OTP Bank Nyrt. - ATM","Pillangó utca 15, 1149 Budapest",19.116678,47.504394
"4527","OTP Bank Nyrt. - ATM","Szent Korona útja 18, 1155 Budapest",19.1209693,47.5436788
"4528","Magyar Posta Zrt. - Fiók","Kossuth Lajos utca 89., 1203 Budapest",19.1106872,47.4424811
"4529","OTP Bank Nyrt. - ATM","Nagysándor J. utca 54, 1204 Budapest",19.109523,47.435398
"4530","Erste Bank Hungary Zrt. - ATM","Üllői út 114-11, 1101 Budapest",19.112151,47.470864
"4531","K&H Bank Zrt. - ATM","Üllői út 149., 1091 Budapest",19.1120952,47.4702687
"4532","Magyar Posta Zrt. - Fiók","Üllői út 114-116., 1101 Budapest",19.112151,47.470864
"4533","Pannon Takarék Bank Zrt. - ATM","Kolozsvár u. 2/B, 1155 Budapest",19.1223129,47.541691
"4534","Pannon Takarék Bank Zrt. - Fiók","Kolozsvár utca 2/b., 1155 Budapest",19.1223129,47.541691
"4535","OTP Bank Nyrt. - ATM","Zách utca 8, 1101 Budapest",19.1143279,47.4922711
"4536","OTP Bank Nyrt. - ATM","Ceglédi út 3, 1107 Budapest",19.1120838,47.4719425
"4537","Magyar Posta Zrt. - Fiók","Rákóczi út 83., 2659 Érsekvadkert",19.2015982,47.9963222
"4538","OTP Bank Nyrt. - ATM","Állomás sétány 19, 2120 Dunakeszi",19.1324995,47.6460645
"4539","Magyar Posta Zrt. - Fiók","Szent István utca 52., 2120 Dunakeszi",19.130349,47.632522
"4540","OTP Bank Nyrt. - ATM","Némedi út 8202/7, 2330 Dunaharaszti",19.101444,47.350921
"4541","OTP Bank Nyrt. - ATM","Üllői út 147, 1097 Budapest",19.110492,47.470487
"4542","Magyar Posta Zrt. - Fiók","Juhászföldi út 1, 2345 Apaj",19.0962436,47.1155555
"4543","MagNet Bank Zrt. - ATM","Fő út 41, 2120 Dunakeszi",19.129245,47.632568
"4544","MagNet Bank Zrt. - Fiók","Fő út 41, 2120 Dunakeszi",19.129245,47.632568
"4545","OTP Bank Nyrt. - Fiók","Fő utca 64, 1151 Budapest",19.119983,47.564476
"4546","MKB Zrt. - Fiók","Fő út 16-18, 2120 Dunakeszi",19.12839,47.630446
"4547","MKB Zrt. - ATM","Fő út 16-18, 2120 Dunakeszi",19.12839,47.630446
"4548","Erste Bank Hungary Zrt. - ATM","Fő út 24., 2120 Dunakeszi",19.128657,47.6310659
"4549","Erste Bank Hungary Zrt. - Fiók","Fő út 24, 2120 Dunakeszi",19.128657,47.6310659
"4550","OTP Bank Nyrt. - ATM","Fő utca 64, 1151 Budapest",19.119983,47.564476
"4551","K&H Bank Zrt. - ATM","Fő út 31., 2120 Dunakeszi",19.129123,47.631507
"4552","K&H Bank Zrt. - Fiók","Fő út 31, 2120 Dunakeszi",19.129123,47.631507
"4553","BUDAPEST Bank Zrt. - ATM","Fő utca 16., 2120 Dunakeszi",19.12839,47.630446
"4554","BUDAPEST Bank Zrt. - Fiók","Fő út 16., 2120 Dunakeszi",19.12839,47.630446
"4555","UniCredit Bank Zrt. - ATM","Fő út 70, 2120 Dunakeszi",19.129414,47.63854
"4556","Magyar Posta Zrt. - Fiók","Fő út 68., 1151 Budapest",19.1194831,47.5644016
"4557","CENTRÁL TAKARÉK Szövetkezet - ATM","Fő u. 66-68., 2120 Dunakeszi",19.1293599,47.6375063
"4558","CENTRÁL TAKARÉK Szövetkezet - Fiók","Fő út 66-70., 2120 Dunakeszi",19.1293599,47.6375063
"4559","UniCredit Bank Zrt. - Fiók","Fő út 70., 2120 Dunakeszi",19.129414,47.63854
"4560","OTP Bank Nyrt. - ATM","Rákos út 77/a, 1152 Budapest",19.1182815,47.5534764
"4561","CENTRÁL TAKARÉK Szövetkezet - ATM","Rákóczi út 122, 2659 Érsekvadkert",19.1979604,47.9971957
"4562","CENTRÁL TAKARÉK Szövetkezet - Fiók","Rákóczi út 122, 2659 Érsekvadkert",19.1979604,47.9971957
